source_id,target_id,score
H6OH04082,S4AR00103,9
P00009423,P60007168,9
P00010793,P00009092,9
P00010793,P00009423,9
P00009795,P00009092,9
S4AK00214,S4AR00103,9
H8NY15148,H8NC09123,8
H8CA45130,H8CA48035,8
H8NC09123,H8CA10167,8
S6OH00163,H8NC09123,8
P00009423,S0AZ00350,8
H8NC09123,H8MN05239,8
P00009621,P80000722,8
S4VT00017,H8NC09123,8
P00009423,P00010454,8
H0NC02083,H8NC09123,8
P00010454,P00009423,8
P00010298,H8TX23121,8
H8KS03155,H8NC09123,8
H4AZ07043,H8NC09123,8
H8TX07140,H8NC09123,8
H8NC09123,S8MN00578,8
H8NC09123,H8NY15148,8
H8NC09123,H8KS03155,8
H8VA10106,H8NC09123,8
H8NC09123,S4VT00017,8
P80000722,P00009621,8
H8CA48035,H8CA45130,8
H8NC09123,S6OH00163,8
P00009621,H6GA05217,8
H8TX21307,H0NC09187,8
H8NC09123,H0NC02083,8
H8NC09123,H4AZ07043,8
H0NC09187,H8TX21307,8
S8MN00578,H8NC09123,8
H6GA05217,P00009621,8
H8NC09123,H8TX07140,8
H8NC09123,H8VA10106,8
H8MN05239,H8NC09123,8
H8CA10167,H8NC09123,8
S0AZ00350,P00009423,8
H8TX23121,P00010298,8
P00009621,S0SC00289,7
H8TX23121,P00010793,7
H6GA05217,P00009423,7
P80006117,P00010793,7
H8IA03124,H8VA07094,7
P00010793,P80006117,7
H8VA07094,H8IA03124,7
P00010793,H8TX23121,7
S0SC00289,P00009621,7
H8TX07140,H8TX23121,7
P00009621,S6IL00292,7
P00009423,H6GA05217,7
H8TX23121,H8TX07140,7
S6IL00292,P00009621,7
P00009423,H8IL14174,6
H8TX23121,H8CA45130,6
S4AR00103,H0NC09187,6
H8TX23121,S0TX00233,6
S0AZ00350,H6GA05217,6
H2NY22139,H8NC09123,6
S4AR00103,S8AZ00221,6
H0NC09187,S4AR00103,6
H8CA20059,H6OH04082,6
H6OH04082,H8CA20059,6
H8CA45130,H8IA03124,6
H8CA45130,H8TX23121,6
P80006117,P00011999,6
H8CO06229,H8TX23121,6
H8NC09123,H8AZ01104,6
H8IL03102,H8NC09123,6
S8AZ00221,H8CA20059,6
H8IL06139,H8VA07094,6
H8FL26039,H8NC09123,6
H8IA03124,H8IL06139,6
S0NM00074,H8NC09123,6
P00011999,P80006117,6
H8NC09123,H8NJ07223,6
P00009183,P00009621,6
H8IL06139,H8CA10167,6
H8IL06139,H8NM02248,6
H6GA05217,S0AZ00350,6
P00010454,P00010298,6
S0TX00233,H8TX23121,6
H8NC09123,H8IL14174,6
P00009092,S0SC00289,6
H8NC09123,S0NM00074,6
H6OH04082,H8TX21307,6
H8TX21307,H6OH04082,6
S8AZ00221,S4AR00103,6
H8IL06139,H8IA03124,6
H8NJ07223,H8IL06139,6
H8CA45130,H8CA25074,6
H0NC09187,S2KY00012,6
H8NY15148,P00009621,6
S6IL00151,H8NC09123,6
H8NC09123,S0NC00327,6
H8NC09123,H8FL26039,6
H8IL14174,H8NC09123,6
H8NC09123,P00010520,6
H8TX07140,H8IL06139,6
H8NC09123,H8NM02248,6
P00009621,H8NY15148,6
H8CA25074,H8CA45130,6
H8NJ07223,H8NC09123,6
P00009621,P00009183,6
H8TX23121,H8CA25074,6
H8CA45130,H8IL06139,6
H8CA45130,H8VA07094,6
S0NC00327,H8NC09123,6
H8VA07094,H8CA45130,6
H8IL06139,H8CA45130,6
P00009290,P00009621,6
P00010520,H8NC09123,6
H8CA10167,H8IL06139,6
H8AZ01104,H8NC09123,6
H8IL06139,H8NJ07223,6
H0NC03172,H0NC09187,6
P00010298,P00010454,6
H8NC09123,S6IL00151,6
H8IA03124,H8CA45130,6
H8IL13150,H8IL06139,6
H8NM02248,H8IL06139,6
H8IL06139,H8TX07140,6
H8NC09123,H8IL03102,6
P00009621,P00009290,6
S0NC00202,H8NC09123,6
H8TX23121,H8CO06229,6
S0SC00289,P00009092,6
S0SC00289,S0AZ00350,6
