id,candidate_name,party,candidate_office
C00408534,BILIRAKIS, GUS M,REP,H
C00409219,MATSUI, DORIS,DEM,H
C00409581,THUNE, JOHN,REP,S
C00410233,COURTNEY, JOSEPH D,DEM,H
C00410639,PERLMUTTER, EDWIN G,DEM,H
C00410753,SIRES, ALBIO,DEM,H
C00410761,CASTOR, KATHY,DEM,H
C00410803,WHITEHOUSE, SHELDON,DEM,S
C00412304,TESTER, R. JON,DEM,S
C00412759,BUCHANAN, VERNON,REP,H
C00412890,SMITH, ADRIAN,REP,H
C00413179,WELCH, PETER,DEM,H
C00414318,LOEBSACK, DAVID WAYNE,DEM,H
C00415182,SARBANES, JOHN P. MR.,DEM,H
C00415331,CLARKE, YVETTE,DEM,H
C00415992,BLUMENAUER, EARL,DEM,H
C00416594,JORDAN, JAMES D.,REP,H
C00418293,JOHNSON, HENRY C. 'HANK,DEM,H
C00420745,LAMBORN, DOUGLAS,REP,H
C00420760,HIRONO, MAZIE K.,DEM,S
C00420935,MCCARTHY, KEVIN,REP,H
C00422980,COHEN, STEPHEN IRA,DEM,H
C00424713,GRAYSON, ALAN MARK,DEM,H
C00430991,MEEKS, GREGORY W.,DEM,H
C00431056,CASEY, ROBERT P. JR.,DEM,S
C00433391,PINGREE, CHELLIE M,DEM,H
C00433524,HUNTER, DUNCAN D,REP,H
C00434191,HIMES, JIM,DEM,H
C00434563,HEINRICH, MARTIN,DEM,S
C00435099,FOSTER, G. WILLIAM (BILL),DEM,H
C00435974,HARRIS, ANDREW P,REP,H
C00436386,BARRASSO, JOHN A,REP,S
C00437277,MERKLEY, JEFFREY ALAN,DEM,S
C00437889,PETERS, GARY,DEM,S
C00437913,OLSON, PETER G.,REP,H
C00438697,LATTA, ROBERT EDWARD,REP,H
C00438713,WARNER, MARK ROBERT,DEM,S
C00440362,RISCH, JAMES E,REP,S
C00441014,WITTMAN, ROBERT J MR.,REP,H
C00441352,STIVERS, STEVE MR.,REP,H
C00442921,CARSON, ANDRE,DEM,H
C00443218,WICKER, ROGER SEN.,REP,S
C00443689,LUJAN, BEN RAY,DEM,S
C00443705,SPEIER, JACKIE,DEM,H
C00444471,ROE, DAVID PHILLIP DR.,REP,H
C00444620,THOMPSON, GLENN,REP,H
C00444968,POSEY, BILL,REP,H
C00445023,GUTHRIE, S. BRETT HON.,REP,H
C00445452,CONNOLLY, GERALD EDWARD,DEM,H
